"";"metric";"method";"mean_dist";"sd_dist";"min_dist";"max_dist";"setting";"min_node_size";"covered_effect_vars";"covered_noise_vars";"effect_var_fdr";"time";"mse_val_dat_rf";"mse_val_dat_tree";"mse_rf_pred";"probs_quantiles";"number_splits";"imp.num.var";"epsilon";"method_short";"scenario";"rel_MSE"
"1";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,69191666666667;3,5818619512826;4,2743578799327;1,37147622427924;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,19333406425732
"2";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,735;3,08496568272283;3,79139324096265;1,33371750801205;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,22899041055663
"3";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;2,1562;3,6539446507898;4,30348053208499;1,33970832521489;"No quantiles";4;"5";0,05;"ART";"Scenario 1";1,17776292291532
"4";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;2,94798333333333;2,8642152171024;3,38664566575428;1,4526335476079;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,18239915964849
"5";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,63031666666667;3,56429256002087;3,83910847159901;1,17872823160384;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,07710251247628
"6";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,66991666666667;3,72982452023584;4,56302240363744;1,48682611917822;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,22338795803426
"7";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;1,82556666666667;3,73802200063954;4,39363817486586;1,23365177897052;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,17539120265054
"8";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;3,23313333333333;3,3953153721799;3,61425801823313;1,58536715604657;"No quantiles";6;"5";0,05;"ART";"Scenario 1";1,0644837436449
"9";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;2,66011666666667;3,60106261040122;4,19729001598282;1,36555787621227;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,16556985259281
"10";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;0,8;0;0;2,86776666666667;3,78618751077705;4,15092008386508;1,3027496091036;"No quantiles";5;"5";0,05;"ART";"Scenario 1";1,09633241144287
"11";"weighted splitting variables";"artificial tree";NA;NA;NA;NA;"Setting 1";100;1;0;0;7,05051666666667;3,49921798286064;2,85116253964743;1,73237922998849;"No quantiles";12;"5";0,05;"ART";"Scenario 1";0,814799922043319
